#V    P          P1       err_P1      rho      err_rho     rdf    rdf_x   eta   err_eta
V0   6306.97  10.0736  0.0255836  0.924336  0.00201663  4.777  0.346  5.11996  .01644273
V1   2489.18  3.97577  0.023301  0.722243  0.00309794  3.201  0.348  1.34272  .01209335
V2   1280.53  2.04529  0.0126248  0.575019  0.0017769  2.513  0.348  0.713179  .00729557
V3   764.979  1.22184  0.00796451  0.465239  0.00202294  2.150  0.348  0.458845  .006023238
V4   501.917  0.801672  0.0069683  0.381716  0.00245416  1.929  0.348  0.355058  .003147425
V5   364.323  0.581904  0.00428756  0.317047  0.00150826  1.784  0.348  0.290437  .003709243
V6   269.799  0.430928  0.00348531  0.266199  0.00116998  1.688  0.348  0.25234  .003291326
V7   212.284  0.339064  0.00319604  0.225668  0.000900351  1.611  0.348  0.230628  .002811398
V8   166.334  0.265672  0.00254129  0.192965  0.00104233  1.574  0.348  0.208498  .00323500
V9   136.847  0.218575  0.00196963  0.166287  0.000954177  1.525  0.348  0.196183  .00270592
V10   114.678  0.183166  0.00157108  0.144309  0.00107574  1.494  0.348  0.184964  .00253614
V11   97.4249  0.155609  0.00111622  0.12604  0.000742237  1.471  0.348  0.178539  .002554685
V12   82.8324  0.132302  0.000857731  0.110728  0.000601873  1.455  0.348  0.171607  .002174432
V13   72.1822  0.115291  0.000799736  0.0978  0.00059141  1.424  0.348  0.163931  .002345067
V14   61.9925  0.0990157  0.000473783  0.0868084  0.000515631  1.432  0.348  0.159863  .001399605
V15   54.73  0.0874159  0.000549492  0.0774041  0.000472203  1.422  0.348  0.155323  .002165501
V16   49.2073  0.0785949  0.000488534  0.0693106  0.000454152  1.409  0.348  0.150773
V17   43.3199  0.0691914  0.000485138  0.0623072  0.000557302  1.397  0.348  0.147439  .002504249
V18   38.597  0.0616479  0.000307198  0.0562165  0.000363453  1.391  0.348  0.145391  .002114695
V19   34.6834  0.055397  0.000291453  0.0508944  0.000258971  1.409  0.348  0   0
V20   31.3227  0.0500292  0.000247807  0.0462235  0.000324746  1.392  0.348  0.135078  .002120152
V22   5056.56  8.07644  0.0257601  0.878383  0.00291386  4.333  0.346  3.4197  .01695898
V23   2770.25  4.4247  0.0250925  0.745539  0.00298425  3.335  0.346  1.49211  .0136411
V24   1719.54  2.74648  0.014116  0.638188  0.00185952  2.781  0.348  0.901886  .009011512
V25   1151.27  1.83883  0.0127116  0.550496  0.00181492  2.421  0.348  0.63356  .00554889
