#V    P        P1     err_P1     rho      err_rho     rdf    rdf_x   eta    err_eta
V0  6310.56  10.0794  0.025833  0.924336  0.00199381  4.777  0.346  5.11996  .01644273  
V1  2480.96  3.96264  0.0233657  0.722243  0.00346086  3.201  0.348  1.34272  .01209335  
V2  1279.34  2.04339  0.0143102  0.575019  0.00200204  2.513  0.348  0.713179  .00729557  
V3  763.111  1.21886  0.00888883  0.465239  0.00238208  2.150  0.348  0.458845  .006023238 
V4  501.869  0.801595  0.00787544  0.381716  0.00226777  1.929  0.348  0.355058  .003147425 
V5  362.397  0.578828  0.00505332  0.317047  0.0015737  1.784  0.348  0.290437  .003709243 
V6  269.35  0.430211  0.00395175  0.266199  0.00125216  1.688  0.348  0.25234  .003291326 
V7  214.344  0.342355  0.00294251  0.225668  0.0011384  1.611  0.348  0.230628  .002811398  
V8  166.566  0.266043  0.00277293  0.192965  0.00123484  1.574  0.348  0.208498  .00323500  
V9  137.172  0.219094  0.00224438  0.166287  0.00116068  1.525  0.348  0.196183  .00270592 
V21  7527.96  12.0238  0.0460699  1.04476  0.00262946  4.883  0.348  23.7126  1.160065 
V22  5061.81  8.08482  0.0260026  0.878383  0.00326975  4.333  0.346  3.4197  .01695898 
V23  2769.46  4.42344  0.0269595  0.745539  0.0031011  3.335  0.346  1.49211  .0136411  
V24  1716.28  2.74128  0.0137186  0.638188  0.00219138  2.781  0.348  0.901886  .009011512 
V25  1150.03  1.83685  0.034737  0.550496  0.0021071  2.421  0.348  0.63356  .00554889 
V10  113.712  0.181623  0.00143017  0.144146  0.000899154  0  0  0.186885  .00578935
V11  95.4225  0.152411  0.0013742  0.125897  0.000736533  0  0  0.186115  .00704568
V12  83.2508  0.13297  0.000860168  0.110603  0.00069951  0  0  0.181294  .004271934
V14  62.8422  0.100373  0.000790594  0.0867102  0.000506458  0 0   0.177987  .00573794
V9  126.039  0.201312  0.00132162  0.154889  0.000627849  0 0   0.192259  .004962731
V15  54.8949  0.0876792  0.000349282  0.0774195  0.000332976  0  0  0.170538  .005220775
V16  49.0239  0.078302  0.000417777  0.0693244  0.000467618  0  0  0.171625  .003765074
V17  43.1944  0.068991  0.000435067  0.0623196  0.00032718  0  0  0.17409  .00532383
