V    P          P1       err_P1      rho      err_rho     rdf    rdf_x   eta   err_eta
V0   5036.9  8.04504  0.0442834  0.924336  0.00366983  5.253  0.346  4.91765  .04562609
V1   1782.81  2.84754  0.0242774  0.722243  0.00273819  3.966  0.346  1.32442  .01641996
V2   782.488  1.24981  0.0117713  0.575019  0.00216448  3.539  0.346  0.719848  .01048330
V3   426.241  0.680801  0.0108861  0.465239  0.00235973  3.459  0.346  0.461591  .01172176
V4   251.049  0.40098  0.00919716  0.381716  0.00162002  3.523  0.346  0.335094  .00816274
V5   175.154  0.279759  0.00695003  0.317047  0.00141555  3.674  0.346  0.263532  .00504184
V6   133.912  0.213887  0.00501554  0.266199  0.00174878  3.899  0.346  0.211217  .004277976
V7   103.469  0.165263  0.00516308  0.225668  0.00155555  4.162  0.346  0.190347  0.0001
V8   80.7327  0.128948  0.00324605  0.192965  0.00110034  4.389  0.346  0.161938  .004459323
V9   70.122     0.112   0.00291386  0.166287  0.00154278  4.653  0.346  0.14787  .003149921
V22   4038.15  6.44981  0.0390589  0.878383  0.00336147  4.874  0.346  3.32578  .02646829
V23   2007.19  3.20592  0.0254261  0.745539  0.0026382  4.074  0.346  1.48835  .01489097
V24   1105.71  1.76606  0.0237043  0.638188  0.00203547  3.673  0.346  0.919131  .01421345
V25   693.616  1.10786  0.0169858  0.550496  0.00187419  3.501  0.346  0.647652  .01086822
V10   59.0377  0.0942962  0.00249981  0.144309  0.00117812  4.956  0.346  0.136333  .002535395
V11   51.8071  0.0827473  0.00220675  0.12604  0.00100036  5.228  0.346  0.125848  .003107914
V12   46.3154  0.0739759  0.00178467  0.110728  0.000739435  5.473  0.346  0.124253  .002828431
V13   41.2886  0.065947  0.00132367   0.0978  0.00155927  5.761  0.346  0.110862  .003029077
V14   35.4681  0.0566504  0.00127765  0.0868084  0.000661362  5.969  0.346  0.111487  .002320924
V15   34.1525  0.0545491  0.00115051  0.0774041  0.00049897  6.248  0.346  0.107192  .002416544
V16   30.352  0.0484788  0.00165561  0.0693106  0.000757903  6.460  0.346  0.108198  .002482544
V17   28.8205  0.0460327  0.00104785  0.0623072  0.000472224  6.714  0.346  0.1020417  .003246773
V18   26.1634  0.0417887  0.000892638  0.0562165  0.000637415  6.870  0.346  0.1011659  0.0001
V19   24.2152  0.038677  0.00068163  0.0508944  0.000968642  6.932  0.346  0.0973902  .002047291
V20   23.1449  0.0369675  0.000611464  0.0462235  0.000375162  7.242  0.346  0.0977527  .002944092

