#V    P          P1       err_P1      rho      err_rho     rdf    rdf_x   eta   err_eta
V0   4257.08  6.79949  0.0322397  0.924336  0.00335401  5.464  0.346  5.43162  .02203957
V1   1486.77  2.3747  0.0240271  0.722243  0.00184997  4.442  0.346  1.42335  .01472636
V2   617.709  0.986617  0.0154662  0.575019  0.00178454  4.234  0.346  0.785231  .01047872
V3   306.137  0.488968  0.0131157  0.465239  0.00178257  4.387  0.346  0.503956  .008459671
V4   177.468  0.283455  0.0142344  0.381716  0.00223071  4.736  0.346  0.367246  .00764890
V5   99.6141  0.159106  0.00847207  0.317047  0.00244489  5.256  0.346  0.277424  .00349861
V6   76.7948  0.122658  0.0101057  0.266199  0.00180065  5.829  0.346  0.222372  .005124671
V7   63.7032  0.101748  0.0290983  0.225668  0.00159579  6.577  0.346  0.179518  .00548197
V8   45.9816  0.0734427  0.00494052  0.192965  0.00130332  7.249  0.346  0.15235  .003336944
V9   33.3371  0.0532467  0.00391642  0.166287  0.00194078  7.969  0.346  0.129985  .003800582
V21   3664.85  5.85357  0.0681807  1.04476  0.00202552  5.071  0.346  19.8057  1.6457402
V22   3383.25  5.40379  0.0427093  0.878383  0.00306245  5.125  0.346  3.63599  .03662744
V23   1635.3  2.61193  0.0293678  0.745539  0.00435796  4.501  0.346  1.60284  .02004007
V24   880.526  1.40639  0.0319968  0.638188  0.00342076  4.256  0.346  0.993185  .01452451
V25   529.312  0.845428  0.0234812  0.550496  0.00289791  4.241  0.346  0.705739  .01724477
V10   31.5619  0.0504113  0.0034472  0.144309  0.00136631  8.864  0.346  0.120023  .002934237
V0   4257.08  6.79949  0.0322397  0.924336  0.00335401  5.464  0.346  5.43162  .02203957
V1   1486.77  2.3747  0.0240271  0.722243  0.00184997  4.442  0.346  1.42335  .01472636
V2   617.709  0.986617  0.0154662  0.575019  0.00178454  4.234  0.346  0.785231  .01047872
V3   306.137  0.488968  0.0131157  0.465239  0.00178257  4.387  0.346  0.503956  .008459671
V4   177.468  0.283455  0.0142344  0.381716  0.00223071  4.736  0.346  0.367246  .00764890
V5   99.6141  0.159106  0.00847207  0.317047  0.00244489  5.256  0.346  0.277424  .00349861
V6   76.7948  0.122658  0.0101057  0.266199  0.00180065  5.829  0.346  0.222372  .005124671
V7   63.7032  0.101748  0.0290983  0.225668  0.00159579  6.577  0.346  0.179518  .00548197
V8   45.9816  0.0734427  0.00494052  0.192965  0.00130332  7.249  0.346  0.15235  .003336944
V9   33.3371  0.0532467  0.00391642  0.166287  0.00194078  7.969  0.346  0.129985  .003800582
V10   31.5619  0.0504113  0.0034472  0.144309  0.00136631  8.864  0.346  0.117353  .002934237
V11   28.008  0.0447349  0.00350575  0.12604  0.000713542  9.739  0.346  0.102917  .002923622
V12   23.1682  0.0370047  0.00277044  0.110728  0.00130016  10.541  0.346  0.0931029  .002467223
V13   21.6093  0.0345148  0.00228315  0.0978  0.000803572  11.535  0.346  0.0866598  .002451852
V14   19.4226  0.0310222  0.00239131  0.0868084  0.00197627  12.529  0.346  0.0776613  .002022542
V15   21.0679  0.0336501  0.00152482  0.0774041  0.000953662  13.559  0.346  0.0788665  .002051657
V16   18.5495  0.0296276  0.00118049  0.0693106  0.000420744  14.367  0.346  0.0704298  .002001183
V17   16.2046  0.0258823  0.00130188  0.0623072  0.000552999  15.493  0.346  0.069587  .001604038
V18   16.0896  0.0256986  0.000737475  0.0562165  0.000320579  16.288  0.346  0.0660982  .001731642
V19   14.3681  0.022949  0.000851801  0.0508944  0.000375045  17.349  0.346  0.0636877  .001656583
V20   13.9812  0.0223311  0.000932241  0.0462235  0.000488299  18.467  0.346  0.0636877  .001742816
V21   3664.85  5.85357  0.0681807  1.04476  0.00202552  5.071  0.346  19.8057  1.6457402
V22   3383.25  5.40379  0.0427093  0.878383  0.00306245  5.125  0.346  3.63599  .03662744
V23   1635.3  2.61193  0.0293678  0.745539  0.00435796  4.501  0.346  1.60284  .02004007
V24   880.526  1.40639  0.0319968  0.638188  0.00342076  4.256  0.346  0.993185  .01452451
V25   529.312  0.845428  0.0234812  0.550496  0.00289791  4.241  0.346  0.705739  .01724477
V17   16.2046  0.0258823  0.00130188  0.0623072  0.000552999  15.493  0.346  0.071587  .001604038
V18   16.0896  0.0256986  0.000737475  0.0562165  0.000320579  16.288  0.346  0.0680982  .001731642
V19   14.3681  0.022949  0.000851801  0.0508944  0.000375045  17.349  0.346  0.0656877  .001656583
V20   13.9812  0.0223311  0.000932241  0.0462235  0.000488299  18.467  0.346  0.0646877  .001742816
